"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"van Buyten"|"FC Bayern München"|"Abwehr"|"2.100.000"|"13 (12)"|0|44|"3,67"|"47.727"|""|2100000|13|"FC Bayern München"|"van+Buyten"|0
"van den Bergh"|"Hertha BSC"|"Abwehr"|"470.000"|"33 (33)"|0|18|"0,55"|"26.111"|""|470000|33|"Hertha BSC"|"van+den+Bergh"|0
"van der Vaart"|"Hamburger SV"|"Mittelfeld"|"7.620.000"|"27 (27)"|5|63|"2,33"|"120.952"|""|7620000|27|"Hamburger SV"|"van+der+Vaart"|0
"Verhaegh"|"FC Augsburg"|"Abwehr"|"900.000"|"17 (17)"|0|34|"2,00"|"26.471"|""|9e+05|17|"FC Augsburg"|"Verhaegh"|0
"Vestergaard"|"1899 Hoffenheim"|"Abwehr"|"1.380.000"|"16 (15)"|0|14|"0,93"|"98.571"|""|1380000|16|"1899 Hoffenheim"|"Vestergaard"|0
"Vieirinha"|"VfL Wolfsburg"|"Mittelfeld"|"2.310.000"|"27 (27)"|1|36|"1,33"|"64.167"|""|2310000|27|"VfL Wolfsburg"|"Vieirinha"|0
"Vlachodimos"|"FC Augsburg"|"Mittelfeld"|"720.000"|"0 (0)"|0|0|"0,00"|"-"|""|720000|0|"FC Augsburg"|"Vlachodimos"|0
"Vogt"|"FC Augsburg"|"Mittelfeld"|"430.000"|"28 (26)"|1|20|"0,77"|"21.500"|""|430000|28|"FC Augsburg"|"Vogt"|0
"Volland"|"1899 Hoffenheim"|"Sturm"|"4.750.000"|"34 (33)"|6|46|"1,39"|"103.261"|""|4750000|34|"1899 Hoffenheim"|"Volland"|0
"Vukcevic"|"1899 Hoffenheim"|"Mittelfeld"|"200.000"|"5 (5)"|1|10|"2,00"|"20.000"|""|2e+05|5|"1899 Hoffenheim"|"Vukcevic"|0
"Wagner"|"Hertha BSC"|"Sturm"|"1.380.000"|"0 (0)"|0|0|"0,00"|"-"|""|1380000|0|"Hertha BSC"|"Wagner"|0
"Washausen"|"Eintracht Braunschweig"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Eintracht Braunschweig"|"Washausen"|0
"Weidenfeller"|"Borussia Dortmund"|"Torwart"|"2.300.000"|"31 (31)"|0|108|"3,48"|"21.296"|""|2300000|31|"Borussia Dortmund"|"Weidenfeller"|0
"Weihrauch"|"FC Bayern München"|"Sturm"|"1.000.000"|"0 (0)"|0|0|"0,00"|"-"|""|1e+06|0|"FC Bayern München"|"Weihrauch"|0
"Weis"|"FC Bayern München"|"Mittelfeld"|"540.000"|"18 (18)"|2|22|"1,22"|"24.545"|""|540000|18|"FC Bayern München"|"Weis"|0
"Wendt"|"Borussia M'gladbach"|"Abwehr"|"660.000"|"21 (21)"|1|23|"1,10"|"28.696"|""|660000|21|"Borussia M'gladbach"|"Wendt"|0
"Werner"|"FC Augsburg"|"Mittelfeld"|"1.500.000"|"30 (30)"|5|62|"2,07"|"24.194"|""|1500000|30|"FC Augsburg"|"Werner"|1
"Westermann"|"Hamburger SV"|"Abwehr"|"3.540.000"|"34 (34)"|3|79|"2,32"|"44.810"|""|3540000|34|"Hamburger SV"|"Westermann"|0
"Wetklo"|"1. FSV Mainz 05"|"Torwart"|"770.000"|"31 (31)"|0|66|"2,13"|"11.667"|""|770000|31|"1. FSV Mainz 05"|"Wetklo"|0
"Wiedwald"|"Eintracht Frankfurt"|"Torwart"|"230.000"|"0 (0)"|0|0|"0,00"|"-"|""|230000|0|"Eintracht Frankfurt"|"Wiedwald"|0
"Wiese"|"1899 Hoffenheim"|"Torwart"|"220.000"|"10 (10)"|0|10|"1,00"|"22.000"|""|220000|10|"1899 Hoffenheim"|"Wiese"|0
"Wille"|"Eintracht Frankfurt"|"Abwehr"|"190.000"|"0 (0)"|0|0|"0,00"|"-"|""|190000|0|"Eintracht Frankfurt"|"Wille"|0
"Wollscheid"|"Bayer 04 Leverkusen"|"Abwehr"|"4.330.000"|"31 (31)"|2|78|"2,52"|"55.513"|""|4330000|31|"Bayer 04 Leverkusen"|"Wollscheid"|0
"Wurtz"|"SV Werder Bremen"|"Sturm"|"240.000"|"2 (1)"|0|0|"0,00"|"-"|""|240000|2|"SV Werder Bremen"|"Wurtz"|0
"Xhaka"|"Borussia M'gladbach"|"Mittelfeld"|"3.340.000"|"22 (18)"|1|0|"0,00"|"-"|""|3340000|22|"Borussia M'gladbach"|"Xhaka"|0
"Y. Schulze"|"Hannover 96"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Hannover 96"|"Y.+Schulze"|0
"Ya Konan"|"Hannover 96"|"Sturm"|"2.930.000"|"28 (27)"|7|53|"1,96"|"55.283"|""|2930000|28|"Hannover 96"|"Ya+Konan"|0
"Yelldell"|"Bayer 04 Leverkusen"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Bayer 04 Leverkusen"|"Yelldell"|0
"Yildirim"|"SV Werder Bremen"|"Mittelfeld"|"850.000"|"8 (5)"|0|-2|"-0,40"|"-"|""|850000|8|"SV Werder Bremen"|"Yildirim"|0
"Younes"|"Borussia M'gladbach"|"Sturm"|"1.380.000"|"11 (7)"|1|12|"1,71"|"115.000"|""|1380000|11|"Borussia M'gladbach"|"Younes"|0
"Zambrano"|"Eintracht Frankfurt"|"Abwehr"|"2.240.000"|"30 (30)"|0|48|"1,60"|"46.667"|""|2240000|30|"Eintracht Frankfurt"|"Zambrano"|0
"Zenga"|"Bayer 04 Leverkusen"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Bayer 04 Leverkusen"|"Zenga"|0
"Zieler"|"Hannover 96"|"Torwart"|"2.540.000"|"34 (34)"|0|114|"3,35"|"22.281"|""|2540000|34|"Hannover 96"|"Zieler"|0
"Zimling"|"1. FSV Mainz 05"|"Mittelfeld"|"900.000"|"13 (12)"|1|22|"1,83"|"40.909"|""|9e+05|13|"1. FSV Mainz 05"|"Zimling"|0
"Zoua"|"Hamburger SV"|"Sturm"|"3.350.000"|"0 (0)"|0|0|"0,00"|"-"|""|3350000|0|"Hamburger SV"|"Zoua"|0
"Zuck"|"SC Freiburg"|"Mittelfeld"|"330.000"|"0 (0)"|0|0|"0,00"|"-"|""|330000|0|"SC Freiburg"|"Zuck"|0
