"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"Korczowski"|"1. FC Nürnberg"|"Abwehr"|"160.000"|"3 (0)"|0|0|"0,00"|"-"|""|160000|3|"1. FC Nürnberg"|"Korczowski"|0
"Kraft"|"Hertha BSC"|"Torwart"|"2.030.000"|"0 (0)"|0|0|"0,00"|"-"|""|2030000|0|"Hertha BSC"|"Kraft"|0
"Kramer"|"Borussia M'gladbach"|"Mittelfeld"|"1.650.000"|"0 (0)"|0|0|"0,00"|"-"|""|1650000|0|"Borussia M'gladbach"|"Kramer"|0
"Kratz"|"Eintracht Braunschweig"|"Mittelfeld"|"370.000"|"0 (0)"|0|0|"0,00"|"-"|""|370000|0|"Eintracht Braunschweig"|"Kratz"|0
"Krmas"|"SC Freiburg"|"Abwehr"|"1.870.000"|"17 (17)"|2|68|"4,00"|"27.500"|""|1870000|17|"SC Freiburg"|"Krmas"|1
"Kruppke"|"Eintracht Braunschweig"|"Sturm"|"2.270.000"|"0 (0)"|0|0|"0,00"|"-"|""|2270000|0|"Eintracht Braunschweig"|"Kruppke"|0
"Kumbela"|"Eintracht Braunschweig"|"Sturm"|"2.480.000"|"0 (0)"|0|0|"0,00"|"-"|""|2480000|0|"Eintracht Braunschweig"|"Kumbela"|0
"Kutschke"|"VfL Wolfsburg"|"Sturm"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"VfL Wolfsburg"|"Kutschke"|0
"Kvist"|"VfB Stuttgart"|"Mittelfeld"|"730.000"|"23 (22)"|0|14|"0,64"|"52.143"|""|730000|23|"VfB Stuttgart"|"Kvist"|0
"L. Aycicek"|"SV Werder Bremen"|"Mittelfeld"|"280.000"|"0 (0)"|0|0|"0,00"|"-"|""|280000|0|"SV Werder Bremen"|"L.+Aycicek"|0
"L. Bender"|"Bayer 04 Leverkusen"|"Mittelfeld"|"7.750.000"|"33 (33)"|3|134|"4,06"|"57.836"|""|7750000|33|"Bayer 04 Leverkusen"|"L.+Bender"|0
"L. de Jong"|"Borussia M'gladbach"|"Sturm"|"4.890.000"|"23 (18)"|6|34|"1,89"|"143.824"|""|4890000|23|"Borussia M'gladbach"|"L.+de+Jong"|0
"L. Sobiech"|"Borussia Dortmund"|"Abwehr"|"1.730.000"|"24 (20)"|2|30|"1,50"|"57.667"|""|1730000|24|"Borussia Dortmund"|"L.+Sobiech"|0
"Lahm"|"FC Bayern München"|"Abwehr"|"8.720.000"|"29 (29)"|0|132|"4,55"|"66.061"|""|8720000|29|"FC Bayern München"|"Lahm"|0
"Lakic"|"Eintracht Frankfurt"|"Sturm"|"1.970.000"|"22 (12)"|4|12|"1,00"|"164.167"|""|1970000|22|"Eintracht Frankfurt"|"Lakic"|0
"Lam"|"Hamburger SV"|"Abwehr"|"230.000"|"4 (4)"|0|-4|"-1,00"|"-"|""|230000|4|"Hamburger SV"|"Lam"|0
"Langerak"|"Borussia Dortmund"|"Torwart"|"330.000"|"3 (3)"|0|12|"4,00"|"27.500"|""|330000|3|"Borussia Dortmund"|"Langerak"|0
"Lanig"|"Eintracht Frankfurt"|"Mittelfeld"|"340.000"|"19 (7)"|3|18|"2,57"|"18.889"|""|340000|19|"Eintracht Frankfurt"|"Lanig"|0
"Lasogga"|"Hertha BSC"|"Sturm"|"2.890.000"|"0 (0)"|0|0|"0,00"|"-"|""|2890000|0|"Hertha BSC"|"Lasogga"|0
"Later"|"Eintracht Braunschweig"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Eintracht Braunschweig"|"Later"|0
"Leitner"|"VfB Stuttgart"|"Mittelfeld"|"4.790.000"|"25 (14)"|0|16|"1,14"|"299.375"|""|4790000|25|"VfB Stuttgart"|"Leitner"|0
"Leno"|"Bayer 04 Leverkusen"|"Torwart"|"2.620.000"|"32 (32)"|0|90|"2,81"|"29.111"|""|2620000|32|"Bayer 04 Leverkusen"|"Leno"|0
"Lewandowski"|"Borussia Dortmund"|"Sturm"|"14.370.000"|"31 (31)"|24|196|"6,32"|"73.316"|""|14370000|31|"Borussia Dortmund"|"Lewandowski"|0
"Lomb"|"Bayer 04 Leverkusen"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Bayer 04 Leverkusen"|"Lomb"|0
"Luiz Gustavo"|"FC Bayern München"|"Mittelfeld"|"4.290.000"|"22 (19)"|4|90|"4,74"|"47.667"|""|4290000|22|"FC Bayern München"|"Luiz+Gustavo"|0
"Lukimya"|"SV Werder Bremen"|"Abwehr"|"650.000"|"22 (19)"|1|16|"0,84"|"40.625"|""|650000|22|"SV Werder Bremen"|"Lukimya"|0
"Lustenberger"|"Hertha BSC"|"Mittelfeld"|"1.500.000"|"0 (0)"|0|0|"0,00"|"-"|""|1500000|0|"Hertha BSC"|"Lustenberger"|0
"M. Caligiuri"|"Eintracht Braunschweig"|"Mittelfeld"|"1.280.000"|"22 (18)"|1|26|"1,44"|"49.231"|""|1280000|22|"Eintracht Braunschweig"|"M.+Caligiuri"|0
"M. de Jong"|"FC Augsburg"|"Abwehr"|"400.000"|"20 (16)"|1|17|"1,06"|"23.529"|""|4e+05|20|"FC Augsburg"|"M.+de+Jong"|0
"M. Diouf"|"Hannover 96"|"Sturm"|"8.880.000"|"28 (26)"|12|78|"3,00"|"113.846"|""|8880000|28|"Hannover 96"|"M.+Diouf"|0
"M. Götze"|"Hannover 96"|"Mittelfeld"|"12.840.000"|"28 (28)"|10|177|"6,32"|"72.542"|""|12840000|28|"Hannover 96"|"M.+Götze"|0
"M. Kruse"|"Borussia M'gladbach"|"Sturm"|"9.310.000"|"34 (34)"|11|165|"4,85"|"56.424"|""|9310000|34|"Borussia M'gladbach"|"M.+Kruse"|0
"M. Meyer"|"FC Schalke 04"|"Mittelfeld"|"2.610.000"|"5 (1)"|0|0|"0,00"|"-"|""|2610000|5|"FC Schalke 04"|"M.+Meyer"|0
"M. Petkovic"|"Eintracht Braunschweig"|"Torwart"|"270.000"|"0 (0)"|0|0|"0,00"|"-"|""|270000|0|"Eintracht Braunschweig"|"M.+Petkovic"|0
"M. Schäfer"|"Hannover 96"|"Abwehr"|"750.000"|"31 (24)"|0|16|"0,67"|"46.875"|""|750000|31|"Hannover 96"|"M.+Schäfer"|0
"M. Weiser"|"FC Bayern München"|"Mittelfeld"|"1.090.000"|"0 (0)"|0|0|"0,00"|"-"|""|1090000|0|"FC Bayern München"|"M.+Weiser"|0
"Mak"|"1. FC Nürnberg"|"Sturm"|"950.000"|"19 (13)"|1|23|"1,77"|"41.304"|""|950000|19|"1. FC Nürnberg"|"Mak"|0
"Makiadi"|"SV Werder Bremen"|"Mittelfeld"|"3.040.000"|"29 (26)"|3|74|"2,85"|"41.081"|""|3040000|29|"SV Werder Bremen"|"Makiadi"|0
"Malli"|"1. FSV Mainz 05"|"Mittelfeld"|"460.000"|"14 (9)"|1|8|"0,89"|"57.500"|""|460000|14|"1. FSV Mainz 05"|"Malli"|0
"Mancienne"|"Hamburger SV"|"Abwehr"|"320.000"|"21 (20)"|0|10|"0,50"|"32.000"|""|320000|21|"Hamburger SV"|"Mancienne"|0
"Mandzukic"|"FC Bayern München"|"Sturm"|"11.370.000"|"24 (23)"|15|117|"5,09"|"97.179"|""|11370000|24|"FC Bayern München"|"Mandzukic"|0
"Manninger"|"FC Augsburg"|"Torwart"|"1.340.000"|"12 (12)"|0|52|"4,33"|"25.769"|""|1340000|12|"FC Augsburg"|"Manninger"|0
"Marcos Antonio"|"1. FC Nürnberg"|"Abwehr"|"200.000"|"1 (0)"|0|0|"0,00"|"-"|""|2e+05|1|"1. FC Nürnberg"|"Marcos+Antonio"|0
"Marx"|"Borussia M'gladbach"|"Mittelfeld"|"680.000"|"23 (23)"|2|32|"1,39"|"21.250"|""|680000|23|"Borussia M'gladbach"|"Marx"|0
"Maxim"|"VfB Stuttgart"|"Mittelfeld"|"4.780.000"|"11 (9)"|1|28|"3,11"|"170.714"|""|4780000|11|"VfB Stuttgart"|"Maxim"|0
"Medojevic"|"VfL Wolfsburg"|"Mittelfeld"|"410.000"|"8 (6)"|0|4|"0,67"|"102.500"|""|410000|8|"VfL Wolfsburg"|"Medojevic"|0
"Meffert"|"Bayer 04 Leverkusen"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Bayer 04 Leverkusen"|"Meffert"|0
"Mendler"|"1. FC Nürnberg"|"Mittelfeld"|"240.000"|"3 (2)"|0|4|"2,00"|"60.000"|""|240000|3|"1. FC Nürnberg"|"Mendler"|0
"Mielitz"|"SV Werder Bremen"|"Torwart"|"1.370.000"|"34 (34)"|0|84|"2,47"|"16.310"|""|1370000|34|"SV Werder Bremen"|"Mielitz"|0
"Milik"|"Bayer 04 Leverkusen"|"Sturm"|"960.000"|"6 (0)"|0|0|"0,00"|"-"|""|960000|6|"Bayer 04 Leverkusen"|"Milik"|0
"Miller"|"Hannover 96"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Hannover 96"|"Miller"|0
"Mkhitaryan"|"Borussia Dortmund"|"Mittelfeld"|"10.000.000"|"0 (0)"|0|0|"0,00"|"-"|""|1e+07|0|"Borussia Dortmund"|"Mkhitaryan"|0
"Mlapa"|"Borussia M'gladbach"|"Sturm"|"750.000"|"20 (9)"|2|20|"2,22"|"37.500"|""|750000|20|"Borussia M'gladbach"|"Mlapa"|0
"Modeste"|"1899 Hoffenheim"|"Sturm"|"2.500.000"|"0 (0)"|0|0|"0,00"|"-"|""|2500000|0|"1899 Hoffenheim"|"Modeste"|0
"Mölders"|"FC Augsburg"|"Sturm"|"2.950.000"|"24 (24)"|10|54|"2,25"|"54.630"|""|2950000|24|"FC Augsburg"|"Mölders"|0
"Molinaro"|"VfB Stuttgart"|"Abwehr"|"570.000"|"25 (21)"|0|22|"1,05"|"25.909"|""|570000|25|"VfB Stuttgart"|"Molinaro"|0
"Moravek"|"FC Augsburg"|"Mittelfeld"|"550.000"|"21 (19)"|1|14|"0,74"|"39.286"|""|550000|21|"FC Augsburg"|"Moravek"|0
"Moritz"|"1. FSV Mainz 05"|"Mittelfeld"|"1.070.000"|"6 (2)"|0|-4|"-2,00"|"-"|""|1070000|6|"1. FSV Mainz 05"|"Moritz"|0
"Mujdza"|"SC Freiburg"|"Abwehr"|"730.000"|"23 (21)"|0|34|"1,62"|"21.471"|""|730000|23|"SC Freiburg"|"Mujdza"|0
"Mukhtar"|"Hertha BSC"|"Mittelfeld"|"610.000"|"0 (0)"|0|0|"0,00"|"-"|""|610000|0|"Hertha BSC"|"Mukhtar"|0
"Mwene"|"VfB Stuttgart"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"VfB Stuttgart"|"Mwene"|0
"N. Müller"|"Hannover 96"|"Mittelfeld"|"4.810.000"|"32 (31)"|8|98|"3,16"|"49.082"|""|4810000|32|"Hannover 96"|"N.+Müller"|0
"N. Schulz"|"Hertha BSC"|"Mittelfeld"|"410.000"|"0 (0)"|0|0|"0,00"|"-"|""|410000|0|"Hertha BSC"|"N.+Schulz"|0
"N. Stark"|"1. FC Nürnberg"|"Mittelfeld"|"330.000"|"3 (3)"|0|2|"0,67"|"165.000"|""|330000|3|"1. FC Nürnberg"|"N.+Stark"|0
"N. Weber"|"1. FC Nürnberg"|"Sturm"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"1. FC Nürnberg"|"N.+Weber"|0
"Naldo"|"VfL Wolfsburg"|"Abwehr"|"7.560.000"|"31 (31)"|6|132|"4,26"|"57.273"|""|7560000|31|"VfL Wolfsburg"|"Naldo"|0
"Ndjeng"|"Hertha BSC"|"Mittelfeld"|"1.230.000"|"0 (0)"|0|0|"0,00"|"-"|""|1230000|0|"Hertha BSC"|"Ndjeng"|0
"Nebihi"|"FC Augsburg"|"Sturm"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"FC Augsburg"|"Nebihi"|0
"Neuer"|"FC Bayern München"|"Torwart"|"2.610.000"|"31 (31)"|0|102|"3,29"|"25.588"|""|2610000|31|"FC Bayern München"|"Neuer"|0
"Neuhaus"|"Hamburger SV"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Hamburger SV"|"Neuhaus"|0
"Neustädter"|"FC Schalke 04"|"Mittelfeld"|"3.860.000"|"31 (31)"|3|62|"2,00"|"62.258"|""|3860000|31|"FC Schalke 04"|"Neustädter"|0
"Niedermeier"|"VfB Stuttgart"|"Abwehr"|"2.750.000"|"27 (25)"|1|56|"2,24"|"49.107"|""|2750000|27|"VfB Stuttgart"|"Niedermeier"|0
"Niemeyer"|"Hertha BSC"|"Mittelfeld"|"1.430.000"|"0 (0)"|0|0|"0,00"|"-"|""|1430000|0|"Hertha BSC"|"Niemeyer"|0
"Nikci"|"Hannover 96"|"Mittelfeld"|"240.000"|"4 (2)"|1|2|"1,00"|"120.000"|""|240000|4|"Hannover 96"|"Nikci"|0
"Nilsson"|"1. FC Nürnberg"|"Abwehr"|"3.640.000"|"29 (29)"|6|92|"3,17"|"39.565"|""|3640000|29|"1. FC Nürnberg"|"Nilsson"|0
"Nordtveit"|"Borussia M'gladbach"|"Mittelfeld"|"2.910.000"|"31 (29)"|1|62|"2,14"|"46.935"|""|2910000|31|"Borussia M'gladbach"|"Nordtveit"|0
"Nörgaard"|"Hamburger SV"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Hamburger SV"|"Nörgaard"|0
"Noveski"|"1. FSV Mainz 05"|"Abwehr"|"3.140.000"|"32 (32)"|2|88|"2,75"|"35.682"|""|3140000|32|"1. FSV Mainz 05"|"Noveski"|0
"O. Aydin"|"Bayer 04 Leverkusen"|"Sturm"|"170.000"|"1 (0)"|0|0|"0,00"|"-"|""|170000|1|"Bayer 04 Leverkusen"|"O.+Aydin"|0
"Obasi"|"FC Schalke 04"|"Sturm"|"330.000"|"4 (2)"|0|-8|"-4,00"|"-"|""|330000|4|"FC Schalke 04"|"Obasi"|0
"Oczipka"|"Eintracht Frankfurt"|"Abwehr"|"2.680.000"|"33 (33)"|0|76|"2,30"|"35.263"|""|2680000|33|"Eintracht Frankfurt"|"Oczipka"|0
"Oehrl"|"Eintracht Braunschweig"|"Sturm"|"680.000"|"27 (17)"|1|-11|"-0,65"|"-"|""|680000|27|"Eintracht Braunschweig"|"Oehrl"|0
"Okazaki"|"1. FSV Mainz 05"|"Sturm"|"2.540.000"|"25 (13)"|1|-13|"-1,00"|"-"|""|2540000|25|"1. FSV Mainz 05"|"Okazaki"|0
"Olic"|"VfL Wolfsburg"|"Sturm"|"3.510.000"|"32 (32)"|9|49|"1,53"|"71.633"|""|3510000|32|"VfL Wolfsburg"|"Olic"|0
"Ostrzolek"|"FC Augsburg"|"Abwehr"|"650.000"|"25 (23)"|0|34|"1,48"|"19.118"|""|650000|25|"FC Augsburg"|"Ostrzolek"|0
"Ottl"|"FC Augsburg"|"Mittelfeld"|"250.000"|"13 (10)"|0|-2|"-0,20"|"-"|""|250000|13|"FC Augsburg"|"Ottl"|0
"Öztunali"|"Bayer 04 Leverkusen"|"Mittelfeld"|"700.000"|"0 (0)"|0|0|"0,00"|"-"|""|7e+05|0|"Bayer 04 Leverkusen"|"Öztunali"|0
"P. Herrmann"|"Borussia M'gladbach"|"Mittelfeld"|"6.490.000"|"32 (32)"|6|80|"2,50"|"81.125"|""|6490000|32|"Borussia M'gladbach"|"P.+Herrmann"|0
"P. Hofmann"|"FC Schalke 04"|"Sturm"|"470.000"|"0 (0)"|0|0|"0,00"|"-"|""|470000|0|"FC Schalke 04"|"P.+Hofmann"|0
"P. Jensen"|"1899 Hoffenheim"|"Abwehr"|"250.000"|"2 (2)"|0|0|"0,00"|"-"|""|250000|2|"1899 Hoffenheim"|"P.+Jensen"|0
"P. Ochs"|"VfL Wolfsburg"|"Mittelfeld"|"330.000"|"12 (10)"|0|-14|"-1,40"|"-"|""|330000|12|"VfL Wolfsburg"|"P.+Ochs"|0
"P. Stevanovic"|"SV Werder Bremen"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"SV Werder Bremen"|"P.+Stevanovic"|0
"Palop"|"Bayer 04 Leverkusen"|"Torwart"|"200.000"|"0 (0)"|0|0|"0,00"|"-"|""|2e+05|0|"Bayer 04 Leverkusen"|"Palop"|0
"Pander"|"Hannover 96"|"Abwehr"|"460.000"|"18 (13)"|0|-10|"-0,77"|"-"|""|460000|18|"Hannover 96"|"Pander"|0
"Parker"|"1. FSV Mainz 05"|"Sturm"|"1.520.000"|"16 (14)"|3|0|"0,00"|"-"|""|1520000|16|"1. FSV Mainz 05"|"Parker"|0
"Parkhurst"|"FC Augsburg"|"Abwehr"|"170.000"|"2 (2)"|0|4|"2,00"|"42.500"|""|170000|2|"FC Augsburg"|"Parkhurst"|0
"Paterok"|"1899 Hoffenheim"|"Torwart"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"1899 Hoffenheim"|"Paterok"|0
"Pavlovic"|"SV Werder Bremen"|"Abwehr"|"350.000"|"4 (4)"|0|-6|"-1,50"|"-"|""|350000|4|"SV Werder Bremen"|"Pavlovic"|0
"Pekarik"|"Hertha BSC"|"Abwehr"|"1.080.000"|"0 (0)"|0|0|"0,00"|"-"|""|1080000|0|"Hertha BSC"|"Pekarik"|0
"Pekhart"|"1. FC Nürnberg"|"Sturm"|"540.000"|"31 (28)"|4|4|"0,14"|"135.000"|""|540000|31|"1. FC Nürnberg"|"Pekhart"|0
"Perisic"|"VfL Wolfsburg"|"Mittelfeld"|"3.660.000"|"25 (17)"|4|36|"2,12"|"101.667"|""|3660000|25|"VfL Wolfsburg"|"Perisic"|0
"Perrey"|"Bayer 04 Leverkusen"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Bayer 04 Leverkusen"|"Perrey"|0
"Perthel"|"Eintracht Braunschweig"|"Mittelfeld"|"300.000"|"0 (0)"|0|0|"0,00"|"-"|""|3e+05|0|"Eintracht Braunschweig"|"Perthel"|0
"Petersen"|"SV Werder Bremen"|"Sturm"|"4.670.000"|"34 (34)"|11|43|"1,26"|"108.605"|""|4670000|34|"SV Werder Bremen"|"Petersen"|0
"Pfitzner"|"Eintracht Braunschweig"|"Mittelfeld"|"250.000"|"0 (0)"|0|0|"0,00"|"-"|""|250000|0|"Eintracht Braunschweig"|"Pfitzner"|0
"Philp"|"FC Augsburg"|"Abwehr"|"300.000"|"4 (4)"|0|6|"1,50"|"50.000"|""|3e+05|4|"FC Augsburg"|"Philp"|0
"Pilar"|"SC Freiburg"|"Sturm"|"2.410.000"|"0 (0)"|0|0|"0,00"|"-"|""|2410000|0|"SC Freiburg"|"Pilar"|0
"Pinola"|"1. FC Nürnberg"|"Abwehr"|"520.000"|"28 (28)"|0|12|"0,43"|"43.333"|""|520000|28|"1. FC Nürnberg"|"Pinola"|0
"Piszczek"|"Borussia Dortmund"|"Abwehr"|"3.510.000"|"29 (29)"|2|112|"3,86"|"31.339"|""|3510000|29|"Borussia Dortmund"|"Piszczek"|1
"Pizarro"|"FC Bayern München"|"Sturm"|"5.670.000"|"20 (9)"|6|54|"6,00"|"105.000"|""|5670000|20|"FC Bayern München"|"Pizarro"|0
"Plattenhardt"|"1. FC Nürnberg"|"Abwehr"|"450.000"|"14 (11)"|1|9|"0,82"|"50.000"|""|450000|14|"1. FC Nürnberg"|"Plattenhardt"|0
"Pocognoli"|"Hannover 96"|"Abwehr"|"580.000"|"11 (10)"|0|-4|"-0,40"|"-"|""|580000|11|"Hannover 96"|"Pocognoli"|0
"Pogatetz"|"1. FC Nürnberg"|"Abwehr"|"2.240.000"|"8 (8)"|0|-10|"-1,25"|"-"|""|2240000|8|"1. FC Nürnberg"|"Pogatetz"|0
"Polak"|"VfL Wolfsburg"|"Mittelfeld"|"1.780.000"|"27 (26)"|1|48|"1,85"|"37.083"|""|1780000|27|"VfL Wolfsburg"|"Polak"|0
"Polanski"|"1899 Hoffenheim"|"Mittelfeld"|"620.000"|"23 (19)"|0|12|"0,63"|"51.667"|""|620000|23|"1899 Hoffenheim"|"Polanski"|0
"Polter"|"1. FSV Mainz 05"|"Sturm"|"2.280.000"|"26 (17)"|5|19|"1,12"|"120.000"|""|2280000|26|"1. FSV Mainz 05"|"Polter"|0
"Pospech"|"1. FSV Mainz 05"|"Abwehr"|"1.910.000"|"33 (32)"|1|65|"2,03"|"29.385"|""|1910000|33|"1. FSV Mainz 05"|"Pospech"|0
"Prib"|"Hannover 96"|"Mittelfeld"|"2.630.000"|"27 (27)"|3|22|"0,81"|"119.545"|""|2630000|27|"Hannover 96"|"Prib"|0
"Prödl"|"SV Werder Bremen"|"Abwehr"|"510.000"|"28 (23)"|1|-1|"-0,04"|"-"|""|510000|28|"SV Werder Bremen"|"Prödl"|0
"Pukki"|"FC Schalke 04"|"Sturm"|"1.010.000"|"17 (11)"|3|23|"2,09"|"43.913"|""|1010000|17|"FC Schalke 04"|"Pukki"|0
"R. Adler"|"Hamburger SV"|"Torwart"|"3.000.000"|"32 (32)"|0|144|"4,50"|"20.833"|""|3e+06|32|"Hamburger SV"|"R.+Adler"|0
"R. Khedira"|"VfB Stuttgart"|"Mittelfeld"|"440.000"|"0 (0)"|0|0|"0,00"|"-"|""|440000|0|"VfB Stuttgart"|"R.+Khedira"|0
"R. Kruse"|"Bayer 04 Leverkusen"|"Sturm"|"3.350.000"|"30 (30)"|4|60|"2,00"|"55.833"|""|3350000|30|"Bayer 04 Leverkusen"|"R.+Kruse"|0
"R. Schäfer"|"Hannover 96"|"Torwart"|"1.800.000"|"31 (31)"|0|118|"3,81"|"15.254"|""|1800000|31|"Hannover 96"|"R.+Schäfer"|1
"R. Wolf"|"SV Werder Bremen"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"SV Werder Bremen"|"R.+Wolf"|0
"Raeder"|"FC Bayern München"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"FC Bayern München"|"Raeder"|0
"Raffael"|"Borussia M'gladbach"|"Mittelfeld"|"6.760.000"|"16 (13)"|2|39|"3,00"|"173.333"|""|6760000|16|"Borussia M'gladbach"|"Raffael"|0
"Rafinha"|"FC Bayern München"|"Abwehr"|"1.110.000"|"13 (8)"|2|21|"2,63"|"52.857"|""|1110000|13|"FC Bayern München"|"Rafinha"|0
"Rajkovic"|"Hamburger SV"|"Abwehr"|"350.000"|"13 (9)"|0|6|"0,67"|"58.333"|""|350000|13|"Hamburger SV"|"Rajkovic"|0
"Rakovsky"|"1. FC Nürnberg"|"Torwart"|"180.000"|"4 (4)"|0|6|"1,50"|"30.000"|""|180000|4|"1. FC Nürnberg"|"Rakovsky"|0
"Ramos"|"Hertha BSC"|"Sturm"|"4.290.000"|"0 (0)"|0|0|"0,00"|"-"|""|4290000|0|"Hertha BSC"|"Ramos"|0
"Rausch"|"VfB Stuttgart"|"Abwehr"|"2.330.000"|"30 (29)"|3|29|"1,00"|"80.345"|""|2330000|30|"VfB Stuttgart"|"Rausch"|0
"Reichel"|"Eintracht Braunschweig"|"Abwehr"|"540.000"|"0 (0)"|0|0|"0,00"|"-"|""|540000|0|"Eintracht Braunschweig"|"Reichel"|0
"Reinartz"|"Bayer 04 Leverkusen"|"Mittelfeld"|"4.010.000"|"29 (29)"|3|88|"3,03"|"45.568"|""|4010000|29|"Bayer 04 Leverkusen"|"Reinartz"|0
"Reus"|"Borussia Dortmund"|"Mittelfeld"|"14.620.000"|"32 (30)"|14|174|"5,80"|"84.023"|""|14620000|32|"Borussia Dortmund"|"Reus"|0
"Ribéry"|"FC Bayern München"|"Mittelfeld"|"14.650.000"|"27 (26)"|10|224|"8,62"|"65.402"|""|14650000|27|"FC Bayern München"|"Ribéry"|0
"Rincon"|"Hamburger SV"|"Mittelfeld"|"280.000"|"20 (15)"|0|6|"0,40"|"46.667"|""|280000|20|"Hamburger SV"|"Rincon"|0
"Robben"|"FC Bayern München"|"Mittelfeld"|"10.720.000"|"16 (15)"|5|86|"5,73"|"124.651"|""|10720000|16|"FC Bayern München"|"Robben"|0
"Rode"|"Eintracht Frankfurt"|"Mittelfeld"|"5.760.000"|"33 (33)"|0|108|"3,27"|"53.333"|""|5760000|33|"Eintracht Frankfurt"|"Rode"|0
"Rodríguez"|"VfL Wolfsburg"|"Abwehr"|"1.840.000"|"24 (20)"|0|14|"0,70"|"131.429"|""|1840000|24|"VfL Wolfsburg"|"Rodríguez"|0
"Rojas"|"VfB Stuttgart"|"Sturm"|"1.800.000"|"0 (0)"|0|0|"0,00"|"-"|""|1800000|0|"VfB Stuttgart"|"Rojas"|0
"Rolfes"|"Bayer 04 Leverkusen"|"Mittelfeld"|"4.690.000"|"30 (28)"|3|86|"3,07"|"54.535"|""|4690000|30|"Bayer 04 Leverkusen"|"Rolfes"|0
"Ronny"|"Hertha BSC"|"Mittelfeld"|"4.360.000"|"0 (0)"|0|0|"0,00"|"-"|""|4360000|0|"Hertha BSC"|"Ronny"|0
"Rosenthal"|"Eintracht Frankfurt"|"Mittelfeld"|"2.580.000"|"20 (20)"|4|47|"2,35"|"54.894"|""|2580000|20|"Eintracht Frankfurt"|"Rosenthal"|0
"Rüdiger"|"VfB Stuttgart"|"Abwehr"|"720.000"|"16 (11)"|0|-6|"-0,55"|"-"|""|720000|16|"VfB Stuttgart"|"Rüdiger"|0
"Rudnevs"|"Hamburger SV"|"Sturm"|"2.980.000"|"34 (31)"|12|34|"1,10"|"87.647"|""|2980000|34|"Hamburger SV"|"Rudnevs"|0
"Rudy"|"1899 Hoffenheim"|"Mittelfeld"|"1.360.000"|"23 (22)"|0|16|"0,73"|"85.000"|""|1360000|23|"1899 Hoffenheim"|"Rudy"|0
"Rukavytsya"|"1. FSV Mainz 05"|"Sturm"|"240.000"|"8 (7)"|0|-12|"-1,71"|"-"|""|240000|8|"1. FSV Mainz 05"|"Rukavytsya"|0
"Rupp"|"Eintracht Braunschweig"|"Mittelfeld"|"220.000"|"21 (15)"|0|-16|"-1,07"|"-"|""|220000|21|"Eintracht Braunschweig"|"Rupp"|0
"Russ"|"Eintracht Frankfurt"|"Abwehr"|"1.370.000"|"10 (7)"|1|23|"3,29"|"59.565"|""|1370000|10|"Eintracht Frankfurt"|"Russ"|0
"S. Bender"|"Borussia Dortmund"|"Mittelfeld"|"5.930.000"|"20 (15)"|1|58|"3,87"|"102.241"|""|5930000|20|"Borussia Dortmund"|"S.+Bender"|0
"S. Langkamp"|"Hertha BSC"|"Abwehr"|"390.000"|"11 (11)"|0|-12|"-1,09"|"-"|""|390000|11|"Hertha BSC"|"S.+Langkamp"|0
"Sahar"|"Hertha BSC"|"Sturm"|"320.000"|"0 (0)"|0|0|"0,00"|"-"|""|320000|0|"Hertha BSC"|"Sahar"|0
"Sahin"|"Borussia Dortmund"|"Mittelfeld"|"8.280.000"|"15 (10)"|3|40|"4,00"|"207.000"|""|8280000|15|"Borussia Dortmund"|"Sahin"|0
"Sala"|"Hamburger SV"|"Mittelfeld"|"260.000"|"8 (2)"|0|-8|"-4,00"|"-"|""|260000|8|"Hamburger SV"|"Sala"|0
"Salihovic"|"1899 Hoffenheim"|"Mittelfeld"|"4.180.000"|"20 (17)"|7|35|"2,06"|"119.429"|""|4180000|20|"1899 Hoffenheim"|"Salihovic"|0
